ASIN,ASIN_body,commodity_item,brandName,price,comments,star_level,ranking,DATE
B0051F95PA,MTM Ice Fishing Rod Box (Red),null,MTM,$31.40-$792.50,160 ratings,3.6 out of 5,"['#51,744 in Sports & Outdoors (', ')']","['B081TMTLYH', '#51,744 in Sports & Outdoors (', ')']"
B07BHMHS4S,Vbestlife Fishing Rod Case Carrier Bag Portable Waterproof Fishing Rod Reel Bag Case Storage Bags Box Carry Holder Tackle Bag Backpack for Travel with Adjustable Strap,null,Vbestlife,$21.09,7 ratings,3.6 out of 5,"['#370,022 in Sports & Outdoors (', ')']","['9.6 ounces', '9.6 ounces (', ')', 'B07BHMHS4S', '#370,022 in Sports & Outdoors (', ')']"
B07GCCFXTK,Fishing Bags Portable Folding Rod Pole Carrier Canvas Storage Case Tackles Tools,null,Sarora,null,2 ratings,4.5 out of 5,"['#490,041 in Sports & Outdoors (', ')']","['15.8 ounces (', ')', 'B07GCCFXTK', '#490,041 in Sports & Outdoors (', ')']"
B019TW94H4,Fiblink 4 Pieces Travel Spinning Rod Medium Carbon Spinning Fishing Rod Portable Fishing Rod,null,Fiblink,$39.49-$41.99,59 ratings,4 out of 5,"['#63,378 in Sports & Outdoors (', ')']","['B07KP3MXVX', '#63,378 in Sports & Outdoors (', ')']"
B07D7457V9,Leo Telescopic Fishing Rod and Reel Combos with Full Kits and Carrier Bag Carbon Fiber Fishing Pole for Travel Saltwater Freshwater Fishing,null,Leo,$35.89-$47.89,52 ratings,4 out of 5,"['#62,386 in Sports & Outdoors (', ')']","['B07JB9X2M2', '#62,386 in Sports & Outdoors (', ')']"
B07L1P99JQ,millet16zjh Leo Shockproof Fishing Gear Storage Box Carry Bag Hard Case Rod Reel,null,millet16zjh,null,4 ratings,3.1 out of 5,"['#260,035 in Sports & Outdoors (', ')']","['B07L1P99JQ', '#260,035 in Sports & Outdoors (', ')']"
B013IND5HA,"Celsius Deluxe Ice Holds Rods 38"" CEL-DELRC Case Protective Hard Inner Liner",null,Celsius,$69.82,4 ratings,3.8 out of 5,"['#213,770 in Sports & Outdoors (', ')']","['2.85 pounds', '2.8 pounds (', ')', 'B013IND5HA', 'for Proposition 65 warning.', 'CEL-DELRC', '#213,770 in Sports & Outdoors (', ')']"
B079QVQXHB,AGOOL Fishing Rod Bag Holder Fishing Rod Carrier Fishing Pole Travel Case Tackle Box Storage Multifunctional Stand Bags Large Capacity Lightweight Waterproof Fishing Gear Organizer,"['B07XHRQCXN', 'B079QVQXHB']",AGOOL,$22.99,43 ratings,4 out of 5,"['#11,482 in Sports & Outdoors (', ')']","['1.5 pounds (', ')', 'B079QVQXHB', '#11,482 in Sports & Outdoors (', ')']"
B07B7K3XQD,JEKOSEN Portable Travel Casting/Spinning Bass Fishing Rods with Tube Case Lightweight Carbon Fiber Fishing Pole Fresh Water Medium Power Smooth Guides&Durable Reel Seats 6ft-9ft,"['B07H2R27WX', 'B06XC8GMFL']",JEKOSEN,$45.99-$51.99,40 ratings,4.2 out of 5,"['#120,974 in Sports & Outdoors (', ')']","['B07D5QYTQ2', '#120,974 in Sports & Outdoors (', ')']"
B071GNNV9T,"Fishing Rod Case Bag Backpack. Fishing Rod & Reel Organizer, Storage & Travel Bag. Fishing Pole & Tool Carrier Canvas Bag. Perfect For Storing and Carrying your Fishing Rods and Fishing gear.",null,AxiFishing,null,3 ratings,4.1 out of 5,"['#79,158 in Sports & Outdoors (', ')']","['1.6 pounds (', ')', 'B071GNNV9T', '#79,158 in Sports & Outdoors (', ')']"
